Row.names,ID,Pathway.Identifier,Pathway.1,big.annotion,small.annotion,Sample1..51360.,Sample2..1171979.,Pvalue,Qvalue,Pathway.ID,Richfactor,group
Type I diabetes mellitus,4940,hsa04940,Type I diabetes mellitus,Human Diseases,Endocrine and metabolic disease,18,77,0.000300477,0.004657386,ko04940,0.233766234,Addiciton.vs.Withdrawal
Tyrosine metabolism,350,map00350,Tyrosine metabolism,Metabolism,Amino acid metabolism,69,478,0.00045564,0.005885349,ko00350,0.144351464,Addiciton.vs.Withdrawal
Vascular smooth muscle contraction,4270,hsa04270,Vascular smooth muscle contraction,Organismal Systems,Circulatory system,6,15,0.001825506,0.01761463,ko04270,0.4,Addiciton.vs.Withdrawal
Amino sugar and nucleotide sugar metabolism,520,map00520,Amino sugar and nucleotide sugar metabolism,Metabolism,Carbohydrate metabolism,519,34214,0.001610685,0.036700608,ko00520,0.015169229,Withdrawal.vs.Methadone
Bacterial invasion of epithelial cells,5100,organism:hsa+pathogen,Bacterial invasion of epithelial cells,Human Diseases,Infectious disease: bacterial,41,1392,3.80E-06,0.00040384,ko05100,0.029454023,Withdrawal.vs.Methadone
DNA replication,3030,map03030,DNA replication,Genetic Information Processing,Replication and repair,261,15487,0.000113687,0.003718627,ko03030,0.016852844,Withdrawal.vs.Methadone
Galactose metabolism,52,map00052,Galactose metabolism,Metabolism,Carbohydrate metabolism,336,20563,0.00012538,0.003718627,ko00052,0.016340028,Withdrawal.vs.Methadone
Glyoxylate and dicarboxylate metabolism,630,map00630,Glyoxylate and dicarboxylate metabolism,Metabolism,Carbohydrate metabolism,237,14688,0.002015539,0.040184809,ko00630,0.016135621,Withdrawal.vs.Methadone
Homologous recombination,3440,map03440,Homologous recombination,Genetic Information Processing,Replication and repair,337,21124,0.00058161,0.015461133,ko03440,0.015953418,Withdrawal.vs.Methadone
Metabolic pathways,1100,map01100,Metabolic pathways,Metabolism,Global and overview maps,4642,335927,0.00156908,0.036700608,ko01100,0.013818478,Withdrawal.vs.Methadone
Microbial metabolism in diverse environments,1120,map01120,Microbial metabolism in diverse environments,Metabolism,Global and overview maps,1369,92719,4.40E-05,0.001755069,ko01120,0.014765043,Withdrawal.vs.Methadone
Mismatch repair,3430,map03430,Mismatch repair,Genetic Information Processing,Replication and repair,332,19776,2.02E-05,0.001074016,ko03430,0.016788026,Withdrawal.vs.Methadone
Nitrogen metabolism,910,map00910,Nitrogen metabolism,Metabolism,Energy metabolism,145,8483,0.001955693,0.040184809,ko00910,0.01709301,Withdrawal.vs.Methadone
Nucleotide excision repair,3420,map03420,Nucleotide excision repair,Genetic Information Processing,Replication and repair,227,12633,7.50E-06,0.000597729,ko03420,0.017968812,Withdrawal.vs.Methadone
Other glycan degradation,511,map00511,Other glycan degradation,Metabolism,Glycan biosynthesis and metabolism,163,8203,7.36E-07,0.000234908,ko00511,0.019870779,Withdrawal.vs.Methadone
Purine metabolism,230,map00230,Purine metabolism,Metabolism,Nucleotide metabolism,705,46124,0.000128229,0.003718627,ko00230,0.015284884,Withdrawal.vs.Methadone
Pyrimidine metabolism,240,map00240,Pyrimidine metabolism,Metabolism,Nucleotide metabolism,572,36389,4.27E-05,0.001755069,ko00240,0.015719036,Withdrawal.vs.Methadone
RNA polymerase,3020,map03020,RNA polymerase,Genetic Information Processing,Transcription,100,4541,1.65E-06,0.000263863,ko03020,0.022021581,Withdrawal.vs.Methadone
Sphingolipid metabolism,600,map00600,Sphingolipid metabolism,Metabolism,Lipid metabolism,116,5797,1.94E-05,0.001074016,ko00600,0.02001035,Withdrawal.vs.Methadone
